Date,Prime_rate,mortgare_1y,mortgare_3y,mortgare_5y,Date
20-Nov,2.45,3.09,3.59,4.79,Nov-20
20-Dec,2.45,3.09,3.59,4.79,Dec-20
21-Jan,2.45,3.09,3.49,4.79,Jan-21
21-Feb,2.45,2.79,3.49,4.79,Feb-21
21-Mar,2.45,2.79,3.49,4.79,Mar-21
21-Apr,2.45,2.79,3.49,4.79,Apr-21
21-May,2.45,2.79,3.49,4.79,May-21
21-Jun,2.45,2.79,3.49,4.79,Jun-21
21-Jul,2.45,2.79,3.49,4.79,Jul-21
21-Aug,2.45,2.79,3.49,4.79,Aug-21
21-Sep,2.45,2.79,3.49,4.79,Sep-21
21-Oct,2.45,2.79,3.49,4.79,Oct-21
21-Nov,2.45,2.79,3.49,4.79,Nov-21
21-Dec,2.45,2.79,3.49,4.79,Dec-21
